Nation,Political Science and International Relations,Sociology and Political Science,Development,"Economics, Econometrics and Finance","Business, Management and Accounting",Environmental Science,Transportation,Social Sciences (Misc.),Communication,Agricultural and Biological Sciences,Arts and Humanities,Computer Science,Decision Sciences,Demography,Earth and Planetary Sciences,Education,Energy,Engineering,Law,Mathematics,Medicine,Multidisciplinary,Safety Research,Urban Studies,Cultural Sciences
Pakistan,,,,,,,,,,,,1,,,,,,,,,,,,,
Pakistan,,,,,,1,,,,,,,,,,,1,,,,,,,,
Pakistan,,,,,,,,,,,,1,,,,,,,,,,,,,
Nepal,,1,1,,,,,,,,,,,,,,,,,,,,,,
Pakistan / India / Bangladesh / Sri Lanka,,,,,,1,,,,,,,,,,,,,,,,,,,
Pakistan,,,1,,,1,,,,,,,,,,,,,,,,,,,
Pakistan,,1,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,1,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,1,,1,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,1,,,,,,,,
India,1,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan / Sri Lanka / Bangladesh / India,,,,,1,,,,,,,,,,,,,,,,,,,,
Pakistan,,,1,,,1,,,,1,,,,,,,,,,,,,,,
Nepal,,,1,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,1,,,,,,,,1,,
Pakistan,,,,1,,,,,,,,,,,,,,,,,,,,,
Pakistan,1,,1,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,1,,,,,,,,,,,,,,,,,
Pakistan,,,,,,1,,,,,,,,,,,,,,,,,,,
Pakistan,,1,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,1,,,,,,,,,,,,,,,,,
India,,,,1,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,1,,,,,,,,,,,,1,,,,,,,,,,
Pakistan,,1,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,1,,1,,1,,,,,,,,,,,,,,,,,,
Pakistan,,,1,,,1,,,,,,,,,,,,,,,,,,,
Pakistan,,1,1,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,1,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,1,,,
Pakistan,,,,,,1,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,1,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,1,,,
Pakistan,1,,1,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,1,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,1,,,
